Vehicle_Name,Name,Price($),InventoryType,Distance from 30341,Dealership
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$59,805",New,130 mi. from 30341,Gerald Jones VW/Audi
2022-Audi-RS,2022 Audi RS Q8 4.0T quattro,"$151,550",New,137 mi. from 30341,Harper Audi
2022-Audi-Q5,2022 Audi Q5 45 Prestige,"$63,755",New,150 mi. from 30341,Hiley Automotive Group
2022-Audi-S5,2022 Audi S5 3.0T Prestige,"$77,715",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$48,265",New,0 mi. from 30341,Audi Atlanta
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$53,820",New,137 mi. from 30341,Harper Audi
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$47,015",New,0 mi. from 30341,Audi Atlanta
2022-Audi-Q3,2022 Audi Q3 S line Premium Plus,"$45,045",New,11 mi. from 30341,Audi Gwinnett
2022-Audi-TT,2022 Audi TT 2.0T,"$58,930",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2022-Audi-A5,2022 Audi A5 40 Premium,"$52,170",New,137 mi. from 30341,Harper Audi
2022-Audi-e-tron,2022 Audi e-tron Premium,"$85,090",New,15 mi. from 30341,Audi Marietta
2022-Audi-Q7,2022 Audi Q7 55 Premium,"$80,930",New,137 mi. from 30341,Harper Audi
2022-Audi-A5,2022 Audi A5 40 Premium Plus,"$54,065",New,150 mi. from 30341,Hiley Automotive Group
2022-Audi-TTS,2022 Audi TTS 2.0T quattro,"$64,420",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$48,265",New,150 mi. from 30341,Jack Ingram Motors
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$47,015",New,0 mi. from 30341,Audi Atlanta
2009-Audi-A4,2009 Audi A4 3.2 Premium Plus quattro,"$40,000",New,139 mi. from 30341,BMW of Birmingham
2022-Audi-RS,2022 Audi RS Q8 4.0T quattro,"$138,265",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2021-Audi-A8,2021 Audi A8 L 60,"$115,940",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2022-Audi-A6,2022 Audi A6 55 Premium Plus,"$70,215",New,0 mi. from 30341,Audi Atlanta
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$57,855",New,137 mi. from 30341,Harper Audi
2022-Audi-A4,2022 Audi A4 Premium,"$43,615",New,11 mi. from 30341,Audi Gwinnett
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$56,790",New,15 mi. from 30341,Audi Marietta
2022-Audi-e-tron,2022 Audi e-tron Premium,"$81,390",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2022-Audi-A5,2022 Audi A5 40 Premium,"$55,680",New,137 mi. from 30341,Harper Audi
2022-Audi-Q7,2022 Audi Q7 55 Prestige,"$80,065",New,150 mi. from 30341,Hiley Automotive Group
2022-Audi-A5,2022 Audi A5 2.0T Prestige,"$56,210",New,26 mi. from 30341,Audi South Atlanta
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$59,105",New,150 mi. from 30341,Jack Ingram Motors
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$49,065",New,137 mi. from 30341,Harper Audi
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$47,690",New,137 mi. from 30341,Harper Audi
2022-Audi-Q3,2022 Audi Q3 45 S line Premium,"$43,740",New,150 mi. from 30341,Jack Ingram Motors
2022-Audi-Q5,2022 Audi Q5 45 Premium Plus,"$68,035",New,150 mi. from 30341,Hiley Automotive Group
2022-Audi-e-tron,2022 Audi e-tron GT Premium Plus,"$113,795",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2022-Audi-Q7,2022 Audi Q7 55 Premium,"$85,205",New,15 mi. from 30341,Audi Marietta
2022-Audi-A6,2022 Audi A6 allroad 55 quattro Premium Plus,"$72,875",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2022-Audi-A4,2022 Audi A4 40 Premium,"$43,810",New,26 mi. from 30341,Audi South Atlanta
2022-Audi-A4,2022 Audi A4 Premium,"$43,615",New,11 mi. from 30341,Audi Gwinnett
2022-Audi-A4,2022 Audi A4 45 S line quattro Premium,"$47,975",New,26 mi. from 30341,Audi South Atlanta
2022-Audi-Q5,2022 Audi Q5 45 S line quattro Premium,"$55,395",New,137 mi. from 30341,Harper Audi
2022-Audi-A3,2022 Audi A3 40 Premium,"$41,020",New,26 mi. from 30341,Audi South Atlanta
2022-Audi-Q5,2022 Audi Q5 45 Prestige,"$62,805",New,150 mi. from 30341,Hiley Automotive Group
2022-Audi-SQ5,2022 Audi SQ5 3.0T Premium,"$70,860",New,130 mi. from 30341,Gerald Jones VW/Audi
2022-Audi-Q7,2022 Audi Q7 55 Premium Plus,"$69,480",New,137 mi. from 30341,Harper Audi
2022-Audi-S4,2022 Audi S4 3.0T Premium,"$64,290",New,129 mi. from 30341,Steve White Volkswagen Audi - Greenville
2022-Audi-A5,2022 Audi A5 2.0T Premium Plus,"$52,170",New,10 mi. from 30341,Audi North Atlanta
